scope,term_length,year,perc_query_count,ctr,findability
desktop,3,2017,5.32278522858,16.1514999705,10.0339018702
desktop,4,2017,11.027291915,21.1747658165,14.6280969928
desktop,5,2017,9.72777556368,17.0404264347,12.5985482434
desktop,6,2017,10.3019935732,25.2657863556,21.2147428036
desktop,7,2017,9.69255591552,26.5399648754,19.9040701054
desktop,8,2017,10.7574336933,22.8356176794,20.6944399605
desktop,9,2017,6.01625624285,24.6581744178,17.8165496961
desktop,10,2017,5.31826388714,24.0795043831,20.2945625894
desktop,11,2017,3.99180226,23.1129342681,21.5478801516
desktop,12,2017,4.27327018109,27.5082693959,18.5242923597
desktop,13,2017,3.02693920066,29.1421005708,18.4631591119
desktop,14,2017,2.6236361851,25.0750787863,18.5507776691
desktop,15,2017,2.73427232638,24.8025228241,21.8571649167
desktop,16,2017,2.34413828103,29.5970289864,21.7804503888
desktop,17,2017,1.30236982121,29.8958343084,18.4642358125
desktop,18,2017,1.12082336578,27.8597574076,22.3680780919
desktop,19,2017,0.796834638599,27.0860280297,17.7581340225
desktop,20,2017,0.81799206582,26.4148278344,17.9526814955
desktop,21,2017,0.625343652028,30.0947224219,22.5282233752
desktop,22,2017,0.634311892943,29.8311821775,26.2170695725
desktop,23,2017,0.473375929596,28.7329523561,27.8514401794
desktop,24,2017,0.357647680107,29.9368026308,26.9182153997
desktop,25,2017,0.331494846204,32.4048267946,28.384280745
desktop,26,2017,0.249282861337,32.1624788685,23.8726935064
desktop,27,2017,0.188719372889,29.3629954555,26.2075525562
desktop,28,2017,0.192254475463,32.5426396659,24.1082492885
desktop,29,2017,0.194541627631,30.5999782622,25.6902855537
desktop,30,2017,1.14734299779,33.4261586403,29.3325230792
desktop,3,2016,10.8578766673,7.26401334239,7.14144148577
desktop,4,2016,12.2658755999,16.4062209322,14.9628799671
desktop,5,2016,11.4833853476,16.0025369185,14.3464696254
desktop,6,2016,12.0375362703,21.4827887043,19.9029706866
desktop,7,2016,8.54937743298,22.6590396083,18.1161347605
desktop,8,2016,8.18848351575,23.1531415732,18.0125594898
desktop,9,2016,4.98599778074,16.0488511083,11.8396647138
desktop,10,2016,4.286828615,22.5038869949,16.5293962828
desktop,11,2016,4.17415970332,19.3705278519,19.4583568669
